"113年05月 1216 統一             各日成交資訊"
"日期","成交股數","成交金額","開盤價","最高價","最低價","收盤價","漲跌價差","成交筆數",
"113/05/02","9,798,400","745,443,582","76.20","76.90","75.80","76.00","-0.50","5,532",
"113/05/03","11,020,058","841,090,204","76.50","77.20","75.90","76.00"," 0.00","5,388",
"113/05/06","8,275,999","641,763,728","76.50","78.20","76.20","77.60","+1.60","5,132",
"113/05/07","10,667,408","819,785,821","77.10","77.30","76.40","77.00","-0.60","5,502",
"113/05/08","6,411,408","492,059,595","76.60","77.00","76.40","77.00"," 0.00","3,531",
"113/05/09","4,944,817","377,748,621","76.70","76.90","76.10","76.30","-0.70","2,373",
"113/05/10","7,490,407","576,807,498","76.50","77.20","76.50","77.20","+0.90","3,631",
"113/05/13","7,544,789","587,661,925","77.50","78.20","77.30","78.20","+1.00","5,786",
"113/05/14","10,276,861","804,915,401","78.10","78.70","77.60","78.30","+0.10","5,598",
"113/05/15","10,438,292","824,430,288","78.90","79.30","78.00","79.10","+0.80","7,055",
"113/05/16","16,188,184","1,293,954,007","79.90","80.50","79.10","79.80","+0.70","8,237",
"113/05/17","15,006,720","1,192,980,517","79.60","80.00","78.90","79.20","-0.60","7,071",
"113/05/20","21,404,752","1,664,030,330","77.90","78.90","76.30","77.90","-1.30","16,750",
"113/05/21","18,061,279","1,428,831,620","77.80","79.50","77.80","79.20","+1.30","6,880",
"113/05/22","19,187,837","1,534,115,683","80.20","80.30","79.00","80.30","+1.10","8,915",
"113/05/23","19,228,028","1,553,421,337","79.40","81.50","79.30","80.80","+0.50","9,108",
"113/05/24","11,066,999","880,620,234","80.10","80.70","79.10","79.10","-1.70","10,676",
"113/05/27","10,545,148","841,586,924","78.90","80.40","78.80","79.60","+0.50","7,131",
"113/05/28","10,965,173","862,995,134","79.60","79.80","78.40","78.50","-1.10","9,158",
"113/05/29","14,739,969","1,138,985,031","77.30","78.30","76.80","76.80","-1.70","7,127",
"113/05/30","10,978,563","846,146,209","77.00","77.80","76.60","77.00","+0.20","6,450",
"113/05/31","32,653,443","2,601,264,703","77.30","80.30","76.90","80.00","+3.00","13,206",
"說明:"
"符號說明:+/-/X表示漲/跌/不比價"
"當日統計資訊含一般、零股、盤後定價、鉅額交易，不含拍賣、標購。"
"ETF證券代號第六碼為K、M、S、C者，表示該ETF以外幣交易。"
"權證證券代號可重複使用，權證顯示之名稱係目前存續權證之簡稱。"

